Address,Coordinates,City,# Bedrooms,# Bathrooms,Price per bedroom,Price per apartment,Cats ok,Dogs ok,# cafes nearby,# minutes to closest cafe,# restaurants nearby,# minutes to closest restaurant,# shops nearby,# minutes to nearest bus stop,# minutes to nearest T-station,# parks nearby,# minutes to closest drugstore,# minutes to closest urgent care
135 Washington St,42.3821° N 71.0858° W,Somerville,2,1,"$1,600","$3,200",1,0,4,4,4,3,5,1,10,3,5,13
1865 Massachusetts Ave,42.3876° N 71.1198° W,Porter Square,3,1,"$2,050","$6,150",0,1,5,1,5,1,7,1,2,2,2,4
25 White St,42.3891° N 71.1188° W,Porter Square,4,2,"$2,150","$8,600",1,1,5,1,5,1,8,1,2,2,1,3
1925 Massachusetts Ave,42.3900° N 71.1217° W,Porter Square,1,1,"$2,000","$2,000",0,0,5,2,5,2,6,1,4,3,3,6
55 Upland Rd,42.3860° N 71.1161° W,Porter Square,2,1,"$1,900","$3,800",1,1,4,4,5,3,5,2,6,2,5,9
20 Roseland St,42.3851° N 71.1180° W,Porter Square,3,1,"$2,000","$6,000",1,0,5,3,5,3,5,2,5,2,4,8
835 Somerville Ave,42.3881° N 71.1158° W,Porter Square,4,1,"$1,850","$7,400",0,1,5,2,5,2,6,1,4,2,3,7
1965 Massachusetts Ave,42.3916° N 71.1231° W,Porter Square,1,1,"$2,100","$2,100",1,1,5,3,5,2,5,1,6,3,4,10
40 Mount Vernon St,42.3856° N 71.1149° W,Porter Square,2,1,"$1,950","$3,900",0,0,4,5,4,4,4,2,8,2,6,12
855 Somerville Ave,42.3889° N 71.1173° W,Porter Square,3,2,"$1,850","$5,550",1,1,5,1,5,1,7,1,3,2,2,5
45 Walden St,42.3858° N 71.1235° W,Porter Square,4,1,"$1,900","$7,600",1,0,4,4,5,4,4,2,7,3,5,11
235 Harvard St,42.3428° N 71.1216° W,Brookline,1,1,"$2,200","$2,200",0,1,5,1,5,1,7,1,2,3,1,5
1430 Beacon St,42.3414° N 71.1213° W,Brookline,2,1,"$2,250","$4,500",1,1,5,1,5,1,7,1,2,3,1,5
70 St Paul St,42.3475° N 71.1161° W,Brookline,3,1,"$2,250","$6,750",0,0,5,4,5,3,5,2,7,2,5,10
130 Babcock St,42.3488° N 71.1215° W,Brookline,4,2,"$1,850","$7,400",1,1,4,5,4,4,4,2,8,2,6,12
90 Freeman St,42.3488° N 71.1173° W,Brookline,1,1,"$2,100","$2,100",1,0,4,5,4,5,4,3,9,3,6,11
1370 Beacon St,42.3423° N 71.1195° W,Brookline,2,1,"$2,250","$4,500",0,1,5,1,5,1,7,1,2,3,2,5
330 Washington St,42.3331° N 71.1205° W,Brookline,3,2,"$2,050","$6,150",1,1,5,2,5,2,5,1,5,3,3,7
100 Pleasant St,42.3477° N 71.1187° W,Brookline,4,1,"$2,100","$8,400",0,0,4,4,5,3,5,2,7,2,5,11
1620 Beacon St,42.3388° N 71.1295° W,Brookline,1,1,"$1,950","$1,950",1,1,5,3,5,2,5,1,4,3,4,9
60 Marion St,42.3435° N 71.1231° W,Brookline,2,1,"$2,050","$4,100",1,0,5,3,5,2,5,2,5,2,4,7
135 Centre St,42.3418° N 71.1236° W,Brookline,3,1,"$2,100","$6,300",0,1,5,2,5,1,6,2,3,3,3,6
90 Cypress St,42.3298° N 71.1195° W,Brookline,4,2,"$2,000","$8,000",1,1,4,4,4,4,3,1,9,4,6,13
230 Brighton Ave,42.3525° N 71.1363° W,Allston,1,1,"$1,500","$1,500",0,0,5,1,5,1,5,1,4,2,2,7
100 Harvard Ave,42.3517° N 71.1318° W,Allston,2,1,"$1,450","$2,900",1,1,5,1,5,1,7,1,2,2,2,5
1265 Commonwealth Ave,42.3494° N 71.1310° W,Allston,3,1,"$1,550","$4,650",1,0,5,2,5,1,6,1,2,2,3,7
50 Brainerd Rd,42.3478° N 71.1357° W,Allston,4,2,"$1,300","$5,200",0,1,4,5,4,4,4,2,5,3,6,11
180 Kelton St,42.3452° N 71.1374° W,Allston,1,1,"$1,450","$1,450",1,1,4,6,4,5,3,3,8,3,8,14
75 Braintree St,42.3556° N 71.1353° W,Allston,2,1,"$1,350","$2,700",0,0,4,4,5,3,4,2,7,2,5,11
1395 Commonwealth Ave,42.3481° N 71.1353° W,Allston,3,1,"$1,500","$4,500",1,1,5,2,5,2,5,1,3,3,3,8
60 Pratt St,42.3540° N 71.1314° W,Allston,4,1,"$1,350","$5,400",1,0,5,3,5,2,5,2,5,2,4,8
130 Glenville Ave,42.3484° N 71.1330° W,Allston,1,1,"$1,450","$1,450",0,1,4,4,4,3,4,2,5,3,5,9
510 Cambridge St,42.3534° N 71.1399° W,Allston,2,1,"$1,400","$2,800",1,1,5,2,5,2,5,1,8,2,3,12
35 Ashford St,42.3525° N 71.1263° W,Allston,3,2,"$1,550","$4,650",0,0,4,5,5,4,4,3,6,2,6,12
165 Linden St,42.3516° N 71.1294° W,Allston,4,1,"$1,400","$5,600",1,1,5,3,5,2,5,2,5,2,4,10
67 Beacon St,42.3560° N 71.0704° W,Boston,3,2,"$2,400.00","$7,200.00",0,0,5,2,5,1,5,2,7,3,3,8
321 Newbury St,42.3497° N 71.0871° W,Boston,1,1,"$2,600.00","$2,600.00",1,0,5,4,5,2,8,3,3,3,5,11
45 Brattle St,42.3737° N 71.1217° W,Cambridge,1,1,"$2,200.00","$2,200.00",0,0,5,1,5,1,6,3,3,3,3,14
15 Garden St,42.3773° N 71.1162° W,Cambridge,2,1,"$1,900.00","$3,800.00",1,1,4,6,4,7,4,4,6,3,6,15
89 Elm St,42.3952° N 71.1220° W,Somerville,3,1,"$1,500.00","$4,500.00",1,1,5,1,5,1,5,2,2,3,2,18
78 Holland St,42.3944° N 71.1299° W,Somerville,2,1,"$1,700.00","$3,400.00",0,0,4,8,5,7,4,5,5,3,7,20
12 Harvard St,42.3325° N 71.1228° W,Brookline,2,1,"$2,100.00","$4,200.00",0,1,5,1,5,1,4,4,4,2,5,16
90 Washington St,42.3341° N 71.1215° W,Brookline,3,2,"$1,600.00","$4,800.00",0,1,4,7,4,6,4,2,3,3,5,15
156 Brighton Ave,42.3534° N 71.1330° W,Allston,4,1,"$1,400.00","$5,600.00",1,1,4,4,5,1,5,1,3,2,5,15
22 Harvard Ave,42.3538° N 71.1310° W,Allston,2,1,"$1,500.00","$3,000.00",1,0,5,5,5,4,5,3,4,3,4,15
102 Saint Paul St,42.3476° N 71.1157° W,Brookline,4,1,"$2,300","$9,200",1,1,4,6,6,3,7,2,7,2,11,8
92 Harvard Ave,42.3518° N 71.1311° W,Allston,2,1,"$1,925","$3,850",1,0,11,3,15,2,12,3,3,4,2,10
196 Walden St,42.3956° N 71.1323° W,Porter Square,4,1,"$2,175","$8,700",1,1,3,7,4,8,3,3,10,2,14,17
148 Harvard Ave,42.3538° N 71.1313° W,Allston,2,1,"$2,150","$4,300",1,1,11,2,8,1,10,1,3,4,5,10
12 Linden St,42.3496° N 71.1289° W,Allston,2,1,"$1,650","$3,300",1,1,3,4,4,6,4,3,11,3,11,15
132 Highland Ave,42.3893° N 71.1050° W,Somerville,3,1,"$1,750","$5,250",1,0,2,6,8,5,3,2,6,2,7,17
70 Babcock St,42.3510° N 71.1194° W,Brookline,4,1,"$2,250","$9,000",0,0,5,5,5,2,3,4,12,1,8,11
112 Linden St,42.3538° N 71.1301° W,Allston,2,1,"$1,750","$3,500",1,0,6,2,3,2,5,6,12,2,8,14
162 Prospect St,42.3705° N 71.1040° W,Cambridge,3,2,"$2,100","$6,300",1,0,4,1,7,1,8,2,6,3,3,15
110 Holland St,42.3998° N 71.1266° W,Somerville,2,1,"$1,700","$3,400",0,1,2,2,4,5,5,4,4,3,11,11
15 Porter Rd,42.3900° N 71.1200° W,Porter Square,2,1,"$2,000","$4,000",0,0,4,5,7,4,5,2,5,3,9,14
54 Garden St,42.3786° N 71.1214° W,Cambridge,3,1,"$2,250","$6,750",0,1,6,4,5,2,7,2,9,2,5,14
88 Walden St,42.3903° N 71.1279° W,Porter Square,3,1,"$1,975","$5,925",1,1,4,7,5,7,2,7,7,3,7,13
1014 Boylston St,42.3487° N 71.0825° W,Boston,3,1,"$2,575","$7,725",0,0,6,3,9,1,7,1,5,4,4,9
532 Columbus Ave,42.3399° N 71.0846° W,Boston,4,2,"$2,450","$9,800",1,0,4,4,4,6,7,6,5,1,11,15
8 Chester St,42.3504° N 71.1272° W,Allston,3,1,"$1,450","$4,350",0,1,4,5,6,6,6,5,11,1,6,17
216 Cedar St,42.3906° N 71.1116° W,Somerville,2,1,"$1,600","$3,200",0,0,1,4,3,8,3,4,8,2,7,19
530 Columbus Ave,42.3391° N 71.0846° W,Boston,2,1,"$2,600","$5,200",0,0,4,2,4,2,7,2,12,1,7,14
42 Porter Rd,42.3909° N 71.1219° W,Porter Square,3,2,"$2,200","$6,600",1,0,2,2,7,2,5,4,5,3,8,15
44 Linden St,42.3507° N 71.1289° W,Allston,3,2,"$1,925","$5,775",1,1,2,5,8,6,7,4,9,3,9,15
1978 Cambridge St,42.3747° N 71.1193° W,Cambridge,2,1,"$2,550","$5,100",1,0,9,4,9,2,8,4,8,4,8,9
282 Newbury St,42.3491° N 71.0826° W,Boston,3,2,"$2,575","$7,725",1,0,9,1,16,2,10,2,4,3,4,7
214 Brattle St,42.3822° N 71.1362° W,Cambridge,3,1,"$2,475","$7,425",0,0,5,2,6,6,7,5,4,1,6,10
216 Aspinwall Ave,42.3371° N 71.1227° W,Brookline,4,2,"$2,125","$8,500",0,0,1,6,2,5,3,6,14,4,10,22
212 Harvard St,42.3424° N 71.1242° W,Brookline,3,2,"$2,400","$7,200",0,0,7,1,7,2,6,3,7,3,8,8
702 Somerville Ave,42.3919° N 71.1145° W,Somerville,4,2,"$1,600","$6,400",1,1,8,4,7,3,10,3,8,3,3,13
1387 Commonwealth Ave,42.3490° N 71.1404° W,Allston,2,1,"$1,650","$3,300",1,0,5,3,7,1,8,1,8,1,6,12
69 Ashford St,42.3548° N 71.1228° W,Allston,3,2,"$1,700","$5,100",1,1,6,3,5,6,7,3,12,1,6,13
20 Holland St,42.3968° N 71.1225° W,Somerville,3,1,"$2,025","$6,075",0,0,2,4,4,3,5,3,4,3,12,16
126 Walden St,42.3922° N 71.1288° W,Porter Square,2,1,"$2,150","$4,300",0,0,4,6,2,3,3,7,13,2,9,12
41 Huron Ave,42.3823° N 71.1282° W,Cambridge,3,1,"$2,000","$6,000",1,1,2,5,4,4,2,7,8,4,14,10
54 Pearl St,42.3620° N 71.1034° W,Cambridge,2,1,"$2,425","$4,850",0,0,4,3,7,2,3,3,8,2,7,17
642 Massachusetts Ave,42.3416° N 71.0879° W,Boston,2,1,"$2,600","$5,200",1,1,9,4,12,1,9,4,8,1,8,13
152 College Ave,42.4008° N 71.1204° W,Somerville,4,1,"$1,500","$6,000",0,0,2,5,7,6,6,2,7,1,7,10
1054 Massachusetts Ave,42.3381° N 71.0973° W,Boston,4,2,"$2,150","$8,600",1,1,5,1,11,2,9,2,3,1,8,9
150 Garden St,42.3817° N 71.1229° W,Cambridge,3,1,"$2,425","$7,275",0,1,6,2,5,3,6,3,10,2,7,8
35 Beech St,42.3905° N 71.1226° W,Porter Square,3,1,"$1,950","$5,850",0,0,4,7,5,5,4,5,13,2,8,13
313 Tremont St,42.3513° N 71.0665° W,Boston,3,1,"$2,400","$7,200",1,1,6,2,12,2,10,1,8,2,5,15
170 Longwood Ave,42.3419° N 71.1177° W,Brookline,4,2,"$2,175","$8,700",1,1,5,5,3,3,6,5,9,1,5,15
596 Commonwealth Ave,42.3490° N 71.0905° W,Boston,3,1,"$2,525","$7,575",0,0,4,1,11,1,5,1,8,1,4,9
140 Holland St,42.4006° N 71.1270° W,Somerville,3,1,"$1,650","$4,950",0,1,4,2,7,5,5,5,2,1,6,13
908 Huntington Ave,42.3354° N 71.1035° W,Boston,4,2,"$2,500","$10,000",0,0,6,3,6,2,8,4,6,4,5,8
1242 Cambridge St,42.3736° N 71.1084° W,Cambridge,2,1,"$2,325","$4,650",0,0,7,2,8,2,5,1,8,3,7,10
1374 Commonwealth Ave,42.3491° N 71.1398° W,Allston,2,1,"$1,650","$3,300",0,1,5,1,11,3,5,4,5,4,8,13
142 Glenville Ave,42.3539° N 71.1363° W,Allston,2,1,"$1,850","$3,700",0,0,1,9,1,3,5,8,13,2,13,22
548 Broadway,42.3937° N 71.1066° W,Somerville,4,1,"$1,675","$6,700",1,1,4,4,8,6,4,6,9,1,10,18
182 Aspinwall Ave,42.3363° N 71.1204° W,Brookline,2,1,"$2,275","$4,550",1,0,3,4,1,9,4,7,16,3,12,21
236 Huron Ave,42.3874° N 71.1373° W,Cambridge,3,1,"$2,325","$6,975",0,1,1,10,2,8,3,7,16,4,14,18
496 Tremont St,42.3474° N 71.0695° W,Boston,3,1,"$2,325","$6,975",1,0,7,4,10,2,6,4,8,4,6,12
16 River St,42.3619° N 71.1152° W,Cambridge,3,1,"$2,575","$7,725",1,0,5,4,6,4,3,2,11,2,6,14
767 Somerville Ave,42.3933° N 71.1168° W,Somerville,4,2,"$1,675","$6,700",0,1,9,2,8,2,5,1,4,1,5,13
186 Highland Ave,42.3908° N 71.1075° W,Somerville,3,2,"$1,875","$5,625",1,1,3,7,3,6,7,3,8,2,10,11
176 Brighton Ave,42.3511° N 71.1332° W,Allston,3,1,"$1,950","$5,850",0,0,6,3,12,3,11,3,4,3,3,12
114 Babcock St,42.3515° N 71.1222° W,Brookline,2,1,"$2,425","$4,850",0,0,3,3,6,5,5,6,6,2,9,18
1004 Commonwealth Ave,42.3505° N 71.1234° W,Allston,3,1,"$1,475","$4,425",1,1,4,3,11,2,7,1,7,3,4,14
888 Somerville Ave,42.3969° N 71.1217° W,Somerville,3,1,"$1,875","$5,625",1,0,4,1,7,2,7,4,6,1,3,9
2170 Massachusetts Ave,42.3944° N 71.1275° W,Porter Square,3,1,"$2,100","$6,300",0,1,7,3,10,3,9,3,4,2,3,6
36 Porter Rd,42.3912° N 71.1216° W,Porter Square,3,1,"$1,850","$5,550",1,0,3,6,8,3,3,2,11,1,8,10
48 Porter Rd,42.3911° N 71.1222° W,Porter Square,3,1,"$2,475","$7,425",1,1,2,6,6,2,5,6,9,3,12,8
8 Aspinwall Ave,42.3345° N 71.1106° W,Brookline,2,1,"$1,850","$3,700",1,0,2,10,4,7,2,4,16,2,12,16
71 Porter Rd,42.3925° N 71.1226° W,Porter Square,3,1,"$2,300","$6,900",1,0,6,4,6,6,7,4,8,1,6,12
60 Linden St,42.3519° N 71.1298° W,Allston,3,1,"$1,700","$5,100",0,1,3,3,3,2,6,6,12,3,12,10
273 Pearl St,42.3660° N 71.1049° W,Cambridge,2,1,"$2,425","$4,850",0,0,6,4,8,3,5,6,12,1,12,16
352 Pearl St,42.3679° N 71.1054° W,Cambridge,2,1,"$2,500","$5,000",1,1,3,6,5,5,5,5,9,3,8,16
494 Highland Ave,42.3974° N 71.1234° W,Somerville,3,1,"$2,025","$6,075",0,1,2,2,7,5,4,3,8,2,6,15
149 Saint Paul St,42.3497° N 71.1163° W,Brookline,2,1,"$2,325","$4,650",1,0,5,3,8,3,6,6,7,1,11,8
255 Washington St,42.3372° N 71.1296° W,Brookline,2,1,"$2,225","$4,450",1,0,5,7,4,6,3,5,11,2,8,8
110 Chester St,42.3543° N 71.1288° W,Allston,4,2,"$1,825","$7,300",0,1,3,7,6,4,7,3,5,1,7,8
282 Beacon St,42.3824° N 71.1146° W,Somerville,4,2,"$2,000","$8,000",0,0,3,3,6,3,3,4,8,1,7,9
358 Marlborough St,42.3505° N 71.0850° W,Boston,2,1,"$2,125","$4,250",1,1,6,4,9,1,6,3,6,1,8,7
178 Harvard Ave,42.3542° N 71.1312° W,Allston,2,1,"$1,725","$3,450",1,1,8,2,12,3,10,3,3,4,5,12
1800 Massachusetts Ave,42.3876° N 71.1186° W,Porter Square,3,1,"$2,150","$6,450",1,0,11,3,14,3,8,2,1,1,2,11
608 Massachusetts Ave,42.3418° N 71.0864° W,Boston,3,2,"$2,325","$6,975",1,1,6,2,6,4,9,2,6,2,7,15
20 Porter Rd,42.3903° N 71.1206° W,Porter Square,4,2,"$2,250","$9,000",0,0,6,2,5,4,3,5,12,2,7,15
296 Commonwealth Ave,42.3510° N 71.0800° W,Boston,3,1,"$2,450","$7,350",0,0,9,2,6,2,9,4,6,3,3,10
148 Beacon St,42.3545° N 71.0747° W,Boston,3,2,"$2,075","$6,225",1,0,8,4,7,3,7,4,6,2,3,12
1548 Beacon St,42.3405° N 71.1301° W,Brookline,3,1,"$2,400","$7,200",1,0,6,4,7,4,5,1,3,3,8,10
84 Linden St,42.3522° N 71.1303° W,Allston,4,1,"$2,100","$8,400",1,0,6,4,4,4,6,4,10,1,7,15
558 Tremont St,42.3465° N 71.0704° W,Boston,2,1,"$2,200","$4,400",1,1,8,3,6,3,6,1,3,2,6,14
239 Harvard Ave,42.3564° N 71.1315° W,Allston,3,1,"$1,925","$5,775",0,0,10,3,13,2,12,3,3,2,3,6
50 Columbus Ave,42.3462° N 71.0782° W,Boston,4,2,"$2,600","$10,400",1,0,3,7,5,6,5,2,5,3,9,11
80 Commonwealth Ave,42.3524° N 71.0722° W,Boston,3,1,"$2,200","$6,600",0,0,4,2,11,2,6,2,7,1,7,15
537 Somerville Ave,42.3874° N 71.1086° W,Somerville,3,1,"$1,500","$4,500",0,0,6,4,7,4,5,4,7,4,4,14
34 Quint Ave,42.3497° N 71.1357° W,Allston,3,2,"$1,800","$5,400",0,1,1,7,5,3,2,4,11,2,11,15
138 Elm St,42.3928° N 71.1187° W,Somerville,4,2,"$2,275","$9,100",0,1,12,1,10,2,9,3,1,2,2,9
39 Beacon St,42.3749° N 71.1057° W,Somerville,2,1,"$1,625","$3,250",0,1,3,3,5,3,5,5,11,1,5,9
6 Longwood Ave,42.3391° N 71.1057° W,Brookline,2,1,"$2,450","$4,900",1,0,2,4,3,6,6,4,8,3,8,9
98 Ashford St,42.3556° N 71.1243° W,Allston,2,1,"$1,850","$3,700",1,1,3,7,5,3,7,3,8,1,11,9
92 Garden St,42.3803° N 71.1219° W,Cambridge,3,1,"$2,325","$6,975",0,1,4,4,8,4,4,4,12,3,10,12
134 Glenville Ave,42.3530° N 71.1365° W,Allston,3,1,"$1,575","$4,725",1,1,2,6,5,8,4,3,11,1,12,17
67 Garden St,42.3795° N 71.1219° W,Cambridge,4,2,"$2,425","$9,700",0,0,5,7,6,4,6,4,6,2,5,12
20 Brighton Ave,42.3527° N 71.1253° W,Allston,3,2,"$1,875","$5,625",0,0,7,3,16,1,9,2,2,4,5,8
297 Newbury St,42.3495° N 71.0825° W,Boston,3,2,"$2,250","$6,750",1,0,7,3,12,3,9,1,3,4,6,8
212 Garden St,42.3838° N 71.1237° W,Cambridge,3,1,"$2,100","$6,300",0,1,6,4,7,4,7,5,8,1,8,8
1348 Beacon St,42.3421° N 71.1230° W,Brookline,2,1,"$2,000","$4,000",0,1,5,4,12,1,6,2,4,4,6,12
246 Aspinwall Ave,42.3370° N 71.1243° W,Brookline,2,1,"$2,050","$4,100",1,0,2,7,5,6,5,8,13,2,7,15
6 Aspinwall Ave,42.3340° N 71.1103° W,Brookline,2,1,"$2,250","$4,500",1,1,4,6,2,5,2,4,12,4,12,18
22 Holland St,42.3969° N 71.1226° W,Somerville,4,1,"$2,175","$8,700",1,1,3,5,3,6,3,3,3,3,9,12
319 Harvard St,42.3456° N 71.1265° W,Brookline,2,1,"$2,250","$4,500",1,1,5,3,8,1,6,1,5,3,3,8
1720 Cambridge St,42.3738° N 71.1155° W,Cambridge,2,1,"$2,425","$4,850",1,0,5,2,10,2,10,2,8,2,8,6
691 Somerville Ave,42.3917° N 71.1143° W,Somerville,3,1,"$1,900","$5,700",0,0,4,3,9,1,10,4,7,1,6,11
1114 Boylston St,42.3486° N 71.0847° W,Boston,2,1,"$2,250","$4,500",0,0,8,1,8,3,10,2,6,2,2,6
92 Walden St,42.3906° N 71.1277° W,Porter Square,4,1,"$1,875","$7,500",1,0,4,8,1,8,2,5,14,3,10,11
340 Huntington Ave,42.3416° N 71.0880° W,Boston,3,1,"$2,275","$6,825",0,0,6,2,10,4,7,1,5,2,8,8
266 Commonwealth Ave,42.3509° N 71.0794° W,Boston,2,1,"$2,575","$5,150",1,1,4,3,8,3,5,3,6,2,4,9
6 Porter Rd,42.3895° N 71.1194° W,Porter Square,2,1,"$2,125","$4,250",1,0,2,4,8,5,5,3,11,1,5,15
2104 Massachusetts Ave,42.3934° N 71.1261° W,Porter Square,3,1,"$2,000","$6,000",1,0,9,2,12,3,11,3,3,3,2,5
312 Washington St,42.3387° N 71.1317° W,Brookline,4,1,"$1,875","$7,500",0,1,4,7,6,6,5,5,6,2,9,13
47 Holland St,42.3977° N 71.1237° W,Somerville,3,1,"$1,925","$5,775",1,1,5,6,8,6,7,5,6,1,8,15
1372 Boylston St,42.3473° N 71.0885° W,Boston,2,1,"$2,425","$4,850",1,1,6,2,10,2,9,3,5,1,5,11
154 Cedar St,42.3892° N 71.1099° W,Somerville,2,1,"$1,875","$3,750",1,0,2,8,3,3,2,7,14,3,8,16
60 Quint Ave,42.3519° N 71.1366° W,Allston,2,1,"$1,700","$3,400",0,0,1,10,3,4,3,8,10,1,11,17
100 Quint Ave,42.3538° N 71.1382° W,Allston,3,1,"$1,775","$5,325",0,1,4,4,1,5,4,7,15,3,11,22
66 Garden St,42.3793° N 71.1221° W,Cambridge,2,1,"$2,100","$4,200",0,1,3,7,4,6,3,3,9,3,12,13
52 Huron Ave,42.3829° N 71.1295° W,Cambridge,3,2,"$2,125","$6,375",0,0,1,10,1,9,2,6,7,2,9,22
12 Saint Paul St,42.3422° N 71.1130° W,Brookline,2,1,"$2,200","$4,400",1,1,5,4,4,3,4,3,6,1,8,12
84 Chester St,42.3533° N 71.1281° W,Allston,4,2,"$2,000","$8,000",1,0,5,6,5,4,7,3,12,3,6,16
289 Beacon St,42.3826° N 71.1146° W,Somerville,2,1,"$1,875","$3,750",0,1,4,6,6,2,6,5,10,3,12,13
12 Glenville Ave,42.3491° N 71.1326° W,Allston,3,1,"$1,675","$5,025",0,0,3,9,5,8,2,8,15,4,13,15
176 Pearl St,42.3642° N 71.1036° W,Cambridge,3,2,"$2,075","$6,225",1,1,5,4,5,2,6,2,12,3,7,17
344 Beacon St,42.3528° N 71.0827° W,Boston,3,1,"$2,275","$6,825",1,0,8,4,12,3,10,3,4,3,6,7
6 Huron Ave,42.3818° N 71.1266° W,Cambridge,2,1,"$2,075","$4,150",1,0,4,8,5,4,5,3,7,3,13,19
196 College Ave,42.4019° N 71.1203° W,Somerville,3,1,"$1,575","$4,725",1,1,4,4,3,5,6,3,11,2,10,11
214 Prospect St,42.3722° N 71.1039° W,Cambridge,4,2,"$2,075","$8,300",1,0,7,2,8,1,7,1,7,2,8,14
70 Washington St,42.3333° N 71.1216° W,Brookline,4,1,"$2,125","$8,500",1,1,6,2,8,5,6,6,8,2,7,12
209 Harvard St,42.3426° N 71.1240° W,Brookline,3,1,"$1,975","$5,925",0,1,9,3,12,4,9,2,8,4,3,14
12 Babcock St,42.3489° N 71.1172° W,Brookline,3,1,"$2,200","$6,600",1,0,4,4,8,5,7,4,5,1,10,17
1016 Huntington Ave,42.3350° N 71.1060° W,Boston,3,1,"$2,350","$7,050",1,1,7,2,10,4,10,2,3,2,5,10
134 Brattle St,42.3781° N 71.1293° W,Cambridge,2,1,"$2,400","$4,800",0,1,5,6,8,5,3,6,4,3,11,10
332 Beacon St,42.3528° N 71.0825° W,Boston,3,2,"$2,225","$6,675",1,1,7,1,10,4,10,2,3,1,3,13
276 Harvard St,42.3439° N 71.1253° W,Brookline,4,2,"$2,400","$9,600",0,1,9,4,10,4,5,3,4,2,3,8
113 Glenville Ave,42.3523° N 71.1350° W,Allston,3,1,"$1,650","$4,950",1,1,1,4,5,6,5,3,7,4,11,15
720 Huntington Ave,42.3376° N 71.0976° W,Boston,4,1,"$2,275","$9,100",1,0,5,1,6,3,8,1,8,2,6,11
84 Holland St,42.3985° N 71.1252° W,Somerville,3,1,"$1,800","$5,400",1,0,2,3,8,2,6,4,6,2,8,12
60 Longwood Ave,42.3397° N 71.1093° W,Brookline,2,1,"$2,150","$4,300",0,0,4,4,6,6,4,6,5,2,6,9
462 Commonwealth Ave,42.3500° N 71.0849° W,Boston,3,2,"$2,600","$7,800",1,0,6,4,6,4,5,3,5,3,4,9
97 Holland St,42.3996° N 71.1260° W,Somerville,2,1,"$1,850","$3,700",0,1,3,7,6,4,3,3,3,2,11,16
1189 Beacon St,42.3428° N 71.1175° W,Brookline,3,2,"$2,325","$6,975",1,1,7,3,9,4,9,4,5,3,3,15
418 River St,42.3694° N 71.1137° W,Cambridge,3,1,"$2,075","$6,225",1,1,5,5,4,4,7,4,8,1,12,14
484 Tremont St,42.3477° N 71.0692° W,Boston,2,1,"$2,475","$4,950",1,1,7,1,7,2,6,4,4,2,5,11
1062 Broadway,42.3782° N 71.1157° W,Cambridge,2,1,"$2,300","$4,600",0,1,7,3,12,2,6,1,4,2,8,15
2274 Massachusetts Ave,42.3974° N 71.1296° W,Porter Square,4,2,"$2,300","$9,200",1,1,6,3,15,2,8,3,4,1,6,10
576 Massachusetts Ave,42.3418° N 71.0852° W,Boston,4,1,"$2,475","$9,900",0,1,7,1,12,1,7,2,4,4,7,7
56 Roseland St,42.3905° N 71.1226° W,Porter Square,3,1,"$2,050","$6,150",1,0,3,4,2,4,5,8,8,3,8,11
274 Marlborough St,42.3518° N 71.0825° W,Boston,3,1,"$2,350","$7,050",1,0,5,4,8,1,6,3,3,4,6,7
568 Commonwealth Ave,42.3491° N 71.0893° W,Boston,2,1,"$2,350","$4,700",1,1,9,1,7,4,5,1,8,2,5,7
806 Somerville Ave,42.3943° N 71.1184° W,Somerville,4,2,"$2,000","$8,000",1,0,4,2,6,1,8,2,7,3,5,14
20 Beech St,42.3901° N 71.1213° W,Porter Square,2,1,"$2,125","$4,250",0,0,1,10,3,7,4,8,10,3,11,19
682 Broadway,42.3951° N 71.1129° W,Somerville,4,2,"$1,700","$6,800",0,1,3,2,8,4,6,2,9,2,6,9
73 Glenville Ave,42.3514° N 71.1341° W,Allston,4,1,"$1,650","$6,600",0,1,2,10,4,9,2,3,9,4,7,17
424 Huntington Ave,42.3403° N 71.0908° W,Boston,2,1,"$2,250","$4,500",1,0,9,2,8,4,10,1,5,4,6,11
110 Linden St,42.3532° N 71.1304° W,Allston,4,1,"$1,725","$6,900",0,1,4,2,7,2,3,6,9,2,6,13
125 Elm St,42.3921° N 71.1185° W,Somerville,2,1,"$2,075","$4,150",0,0,12,1,12,3,10,3,1,4,5,7
224 Huron Ave,42.3869° N 71.1374° W,Cambridge,2,1,"$2,175","$4,350",1,1,1,5,1,4,3,5,14,2,13,17
1439 Cambridge St,42.3739° N 71.1114° W,Cambridge,3,2,"$2,125","$6,375",1,0,4,1,8,2,6,4,7,4,8,7
144 Babcock St,42.3529° N 71.1230° W,Brookline,3,1,"$2,125","$6,375",0,1,6,3,4,3,5,5,11,2,11,8
156 Huron Ave,42.3856° N 71.1340° W,Cambridge,2,1,"$2,200","$4,400",1,1,1,7,1,6,4,7,15,1,14,21
600 Huntington Ave,42.3385° N 71.0954° W,Boston,4,1,"$2,400","$9,600",1,0,9,4,6,1,7,1,6,2,6,12
182 Huron Ave,42.3856° N 71.1347° W,Cambridge,3,1,"$2,100","$6,300",1,0,2,8,4,7,3,3,8,4,14,16
6 Quint Ave,42.3485° N 71.1349° W,Allston,3,1,"$1,800","$5,400",1,0,4,6,5,6,4,8,15,1,11,13
227 Cedar St,42.3910° N 71.1122° W,Somerville,3,2,"$1,700","$5,100",0,0,4,5,5,8,2,4,10,1,9,17
